taxon_level,taxon_id,taxon_name,change_class,change_class_avilist,change_class_id,change_class_desc,change_class_avilist_id,change_class_avilist_desc
sp,928,Ostrich,,,,,,
ssp,u928,Eastern Ostrich,,,,,,
sp,u2,Southern Cassowary,1a,,1a,Species split - allopatric,,
sp,1,Emu,,,,,,
ssp,u1a,Tasmanian Emu,,,,,,
ssp,u1b,Mainland Emu,,,,,,
ssp,u1c,King Island Emu,5a,2a,5a,Non-taxonomic change - scientific name ,2a,Species lump - allopatric
ssp,u1d,Kangaroo Island Emu,,2a,,,2a,Species lump - allopatric
sp,8,Australian Brush-turkey,,,,,,
ssp,u8a,Southern Australian Brush-turkey,,,,,,
ssp,u8b,Cape York Australian Brush-turkey,,,,,,
sp,u7,Malleefowl,,,,,,
sp,6,Orange-footed Scrubfowl,,,,,,
ssp,u6a,Southern Queensland Orange-footed Scrubfowl,,,,,,
ssp,u6b,Papuan Orange-footed Scrubfowl,,,,,,
ssp,u6c,Western Orange-footed Scrubfowl,,,,,,
ssp,u6d,Cape York Orange-footed Scrubfowl,,,,,,
sp,9939,Helmeted Guineafowl,,,,,,
ssp,u9939,Helmeted Guineafowl (ssp),,,,,,
sp,901,California Quail,,,,,,
ssp,u901,Western California Quail,,,,,,
sp,u903,Indian Peafowl,,,,,,
sp,u9,Stubble Quail,,,,,,
sp,11,Brown Quail,5a,,5a,Non-taxonomic change - scientific name ,,
ssp,u11a,Mainland Brown Quail,5a,,5a,Non-taxonomic change - scientific name ,,
ssp,u11b,Tasmanian Brown Quail,5a,,5a,Non-taxonomic change - scientific name ,,
sp,12,King Quail,,,,,,
ssp,u12a,Western King Quail,,,,,,
ssp,u12b,Eastern King Quail,,,,,,
sp,902,Red Junglefowl,,,,,,
ssp,u902,Red Junglefowl (ssp),,,,,,
sp,u752,Green Junglefowl,,,,,,
sp,950,Common Pheasant,,,,,,
ssp,u950,Common Pheasant (ssp),4c,,4c,Subspecies lump - indeterminate/unknown,,
sp,778,Wild Turkey,,,,,,
ssp,u778,South Mexican Wild Turkey,,,,,,
sp,u199,Magpie Goose,,,,,,
sp,u745,Spotted Whistling-Duck,,,,,,
sp,u205,Plumed Whistling-Duck,,,,,,
sp,204,Wandering Whistling-Duck,,,,,,
ssp,u204,Torresian Wandering Whistling-Duck,,,,,,
sp,u216,Blue-billed Duck,,,,,,
sp,217,Musk Duck,5c,,5c,Non-taxonomic change - taxon_id,,
ssp,u217a,Western Musk Duck,3a,,3a,Subspecies split - allopatric,,
ssp,u217b,Eastern Musk Duck,3a,,3a,Subspecies split - allopatric,,
sp,u213,Pink-eared Duck,,,,,,
sp,u214,Freckled Duck,,,,,,
sp,198,Cape Barren Goose,,,,,,
ssp,u198a,Recherche Cape Barren Goose,,,,,,
ssp,u198b,Eastern Cape Barren Goose,,,,,,
sp,u203,Black Swan,,,,,,
sp,206,Radjah Shelduck,,,,,,
ssp,u206,Torresian Radjah Shelduck,,,,,,
sp,u207,Australian Shelduck,,,,,,
sp,200,Cotton Pygmy-goose,,,,,,
